DATE,wind,temp,hour,targVar,RateOfChange0.5,RateOfChange2,RateOfChange4,MovingAverage2,MovingAverage4
2018-01-01T04:00:00,72,180,4,75.44444444,5,3.75,0,69.5,67
2018-01-01T04:30:00,72,180,4,74.33333333,0,0,0.625,69.5,67.625
2018-01-01T05:00:00,88,180,5,73.22222222,16,5.25,3.25,74.75,70.875
2018-01-01T05:30:00,77,180,5,70.88888889,-11,2.5,0.625,77.25,71.5
2018-01-01T06:00:00,72,180,6,71.44444444,-5,0,1.875,77.25,73.375
2018-01-01T06:30:00,77,180,6,70.33333333,5,1.25,0.625,78.5,74
2018-01-01T07:00:00,77,180,7,69.77777778,0,-2.75,1.25,75.75,75.25
2018-01-01T07:30:00,72,180,7,70.33333333,-5,-1.25,0.625,74.5,75.875
2018-01-01T08:00:00,72,180,8,70.88888889,0,0,0,74.5,75.875
2018-01-01T08:30:00,62,180,8,72.66666667,-10,-3.75,-1.25,70.75,74.625
2018-01-01T09:00:00,62,180,9,76.11111111,0,-3.75,-3.25,67,71.375
2018-01-01T09:30:00,67,190,9,79.55555556,5,-1.25,-1.25,65.75,70.125
2018-01-01T10:00:00,82,200,10,83,15,2.5,1.25,68.25,71.375
2018-01-01T10:30:00,62,200,10,84.22222222,-20,0,-1.875,68.25,69.5
2018-01-01T11:00:00,72,200,11,87.66666667,10,2.5,-0.625,70.75,68.875
2018-01-01T11:30:00,82,210,11,90.55555556,10,3.75,1.25,74.5,70.125
2018-01-01T12:00:00,77,210,12,93.44444444,-5,-1.25,0.625,73.25,70.75
2018-01-01T12:30:00,88,210,12,95.22222222,11,6.5,3.25,79.75,74
2018-01-01T13:00:00,93,220,13,99.77777778,5,5.25,3.875,85,77.875
2018-01-01T13:30:00,93,220,13,101.4444444,0,2.75,3.25,87.75,81.125
2018-01-01T14:00:00,98,220,14,104.8888889,5,5.25,2,93,83.125
2018-01-01T14:30:00,93,220,14,104.8888889,-5,1.25,3.875,94.25,87
2018-01-01T15:00:00,93,220,15,104.3333333,0,0,2.625,94.25,89.625
2018-01-01T15:30:00,98,220,15,104.3333333,5,1.25,2,95.5,91.625
2018-01-01T16:00:00,108,220,16,103.2222222,10,2.5,3.875,98,95.5
2018-01-01T16:30:00,93,230,16,100.3333333,-15,0,0.625,98,96.125
2018-01-01T17:00:00,129,210,17,100.8888889,36,9,4.5,107,100.625
2018-01-01T17:30:00,108,210,17,96.33333333,-21,2.5,1.875,109.5,102.5
2018-01-01T18:00:00,124,200,18,94.66666667,16,4,3.25,113.5,105.75
2018-01-01T18:30:00,98,200,18,90.66666667,-26,1.25,0.625,114.75,106.375
2018-01-01T19:00:00,88,200,19,88.88888889,-10,-10.25,-0.625,104.5,105.75
2018-01-01T19:30:00,93,190,19,87.66666667,5,-3.75,-0.625,100.75,105.125
2018-01-01T20:00:00,88,190,20,85.88888889,-5,-9,-2.5,91.75,102.625
2018-01-01T20:30:00,82,190,20,84.11111111,-6,-4,-1.375,87.75,101.25
2018-01-01T21:00:00,98,190,21,82.44444444,16,2.5,-3.875,90.25,97.375
2018-01-01T21:30:00,88,190,21,79,-10,-1.25,-2.5,89,94.875
2018-01-01T22:00:00,93,190,22,76.66666667,5,1.25,-3.875,90.25,91
2018-01-01T22:30:00,88,190,22,73.77777778,-5,1.5,-1.25,91.75,89.75
2018-01-01T23:00:00,82,190,23,70.88888889,-6,-4,-0.75,87.75,89
2018-01-01T23:30:00,77,190,23,69.22222222,-5,-2.75,-2,85,87
2018-01-02T00:00:00,77,190,0,68.11111111,0,-4,-1.375,81,85.625
2018-01-02T00:30:00,72,180,0,67,-5,-4,-1.25,77,84.375
2018-01-02T01:00:00,67,180,1,67,-5,-3.75,-3.875,73.25,80.5
2018-01-02T01:30:00,67,180,1,67.55555556,0,-2.5,-2.625,70.75,77.875
2018-01-02T02:00:00,67,180,2,68.11111111,0,-2.5,-3.25,68.25,74.625
2018-01-02T02:30:00,67,180,2,67.55555556,0,-1.25,-2.625,67,72
2018-01-02T03:00:00,62,180,3,68.11111111,-5,-1.25,-2.5,65.75,69.5
2018-01-02T03:30:00,67,180,3,69.77777778,5,0,-1.25,65.75,68.25
2018-01-02T04:00:00,67,180,4,70.88888889,0,0,-1.25,65.75,67
2018-01-02T04:30:00,67,180,4,72,0,0,-0.625,65.75,66.375
2018-01-02T05:00:00,72,180,5,72.55555556,5,2.5,0.625,68.25,67
2018-01-02T05:30:00,72,180,5,73.11111111,0,1.25,0.625,69.5,67.625
2018-01-02T06:00:00,72,180,6,73.66666667,0,1.25,0.625,70.75,68.25
2018-01-02T06:30:00,62,180,6,72.55555556,-10,-1.25,-0.625,69.5,67.625
2018-01-02T07:00:00,72,180,7,73.11111111,10,0,1.25,69.5,68.875
2018-01-02T07:30:00,77,180,7,72,5,1.25,1.25,70.75,70.125
2018-01-02T08:00:00,77,180,8,69.77777778,0,1.25,1.25,72,71.375
2018-01-02T08:30:00,77,180,8,68.11111111,0,3.75,1.25,75.75,72.625
2018-01-02T09:00:00,72,190,9,67,-5,0,0,75.75,72.625
2018-01-02T09:30:00,77,200,9,65.88888889,5,0,0.625,75.75,73.25
2018-01-02T10:00:00,77,200,10,64.22222222,0,0,0.625,75.75,73.875
2018-01-02T10:30:00,62,210,10,62,-15,-3.75,0,72,73.875
2018-01-02T11:00:00,67,210,11,61.44444444,5,-1.25,-0.625,70.75,73.25
2018-01-02T11:30:00,62,220,11,60.33333333,-5,-3.75,-1.875,67,71.375
2018-01-02T12:00:00,57,230,12,59.11111111,-5,-5,-2.5,62,68.875
2018-01-02T12:30:00,62,230,12,59.11111111,5,0,-1.875,62,67
2018-01-02T13:00:00,67,230,13,57.88888889,5,0,-0.625,62,66.375
2018-01-02T13:30:00,62,240,13,58.44444444,-5,0,-1.875,62,64.5
2018-01-02T14:00:00,62,240,14,59,0,1.25,-1.875,63.25,62.625
2018-01-02T14:30:00,57,240,14,59.55555556,-5,-1.25,-0.625,62,62
2018-01-02T15:00:00,57,240,15,59.55555556,0,-2.5,-1.25,59.5,60.75
2018-01-02T15:30:00,57,240,15,60.11111111,0,-1.25,-0.625,58.25,60.125
2018-01-02T16:00:00,51,240,16,60.66666667,-6,-2.75,-0.75,55.5,59.375
2018-01-02T16:30:00,57,240,16,61.33333333,6,0,-0.625,55.5,58.75
2018-01-02T17:00:00,51,240,17,61.88888889,-6,-1.5,-2,54,56.75
2018-01-02T17:30:00,72,220,17,64.22222222,21,3.75,1.25,57.75,58
2018-01-02T18:00:00,67,210,18,63.66666667,-5,4,0.625,61.75,58.625
2018-01-02T18:30:00,67,200,18,63.66666667,0,2.5,1.25,64.25,59.875
2018-01-02T19:00:00,57,200,19,63.11111111,-10,1.5,0,65.75,59.875
2018-01-02T19:30:00,62,200,19,63.66666667,5,-2.5,0.625,63.25,60.5
2018-01-02T20:00:00,62,210,20,63.66666667,0,-1.25,1.375,62,61.875
2018-01-02T20:30:00,57,200,20,63.66666667,-5,-2.5,0,59.5,61.875
2018-01-02T21:00:00,62,200,21,63.66666667,5,1.25,1.375,60.75,63.25
2018-01-02T21:30:00,72,200,21,63.66666667,10,2.5,0,63.25,63.25
2018-01-02T22:00:00,67,210,22,63.11111111,-5,1.25,0,64.5,63.25
2018-01-02T22:30:00,67,210,22,62.55555556,0,2.5,0,67,63.25
2018-01-02T23:00:00,62,220,23,61.44444444,-5,0,0.625,67,63.875
2018-01-02T23:30:00,62,210,23,60.88888889,0,-2.5,0,64.5,63.875
2018-01-03T00:00:00,62,210,0,60.33333333,0,-1.25,0,63.25,63.875
2018-01-03T00:30:00,62,210,0,59.77777778,0,-1.25,0.625,62,64.5
2018-01-03T01:00:00,57,210,1,59.22222222,-5,-1.25,-0.625,60.75,63.875
2018-01-03T01:30:00,62,210,1,59.22222222,5,0,-1.25,60.75,62.625
2018-01-03T02:00:00,67,190,2,59.22222222,5,1.25,0,62,62.625
2018-01-03T02:30:00,62,180,2,58.11111111,-5,0,-0.625,62,62
2018-01-03T03:00:00,57,180,3,58.11111111,-5,0,-0.625,62,61.375
2018-01-03T03:30:00,57,170,3,59.22222222,0,-1.25,-0.625,60.75,60.75
2018-01-03T04:00:00,57,170,4,60.88888889,0,-2.5,-0.625,58.25,60.125
2018-01-03T04:30:00,57,170,4,62.55555556,0,-1.25,-0.625,57,59.5
2018-01-03T05:00:00,57,170,5,63.66666667,0,0,0,57,59.5
2018-01-03T05:30:00,57,170,5,63.66666667,0,0,-0.625,57,58.875
2018-01-03T06:00:00,62,170,6,65.33333333,5,1.25,-0.625,58.25,58.25
2018-01-03T06:30:00,57,170,6,67,-5,0,-0.625,58.25,57.625
2018-01-03T07:00:00,62,170,7,69.22222222,5,1.25,0.625,59.5,58.25
2018-01-03T07:30:00,67,170,7,68,5,2.5,1.25,62,59.5
2018-01-03T08:00:00,72,170,8,67.44444444,5,2.5,1.875,64.5,61.375
2018-01-03T08:30:00,72,170,8,66.88888889,0,3.75,1.875,68.25,63.25
2018-01-03T09:00:00,67,180,9,66.33333333,-5,1.25,1.25,69.5,64.5
2018-01-03T09:30:00,57,190,9,65.77777778,-10,-2.5,0,67,64.5
2018-01-03T10:00:00,72,200,10,66.33333333,15,0,1.25,67,65.75
2018-01-03T10:30:00,77,200,10,65.22222222,5,1.25,2.5,68.25,68.25
2018-01-03T11:00:00,77,210,11,63.55555556,0,2.5,1.875,70.75,70.125
2018-01-03T11:30:00,51,220,11,61.88888889,-26,-1.5,-2,69.25,68.125
2018-01-03T12:00:00,62,220,12,63.11111111,11,-2.5,-1.25,66.75,66.875
2018-01-03T12:30:00,67,220,12,63.66666667,5,-2.5,-0.625,64.25,66.25
2018-01-03T13:00:00,67,220,13,64.22222222,0,-2.5,0,61.75,66.25
2018-01-03T13:30:00,62,220,13,64.22222222,-5,2.75,0.625,64.5,66.875
2018-01-03T14:00:00,62,220,14,64.77777778,0,0,-1.25,64.5,65.625
2018-01-03T14:30:00,62,220,14,65.33333333,0,-1.25,-1.875,63.25,63.75
2018-01-03T15:00:00,62,220,15,64.11111111,0,-1.25,-1.875,62,61.875
2018-01-03T15:30:00,62,220,15,64.11111111,0,0,1.375,62,63.25
2018-01-03T16:00:00,62,220,16,62.88888889,0,0,0,62,63.25
2018-01-03T16:30:00,67,210,16,62.33333333,5,1.25,0,63.25,63.25
2018-01-03T17:00:00,72,210,17,60.55555556,5,2.5,0.625,65.75,63.875
2018-01-03T17:30:00,67,210,17,59.44444444,-5,1.25,0.625,67,64.5
2018-01-03T18:00:00,67,200,18,59.44444444,0,1.25,0.625,68.25,65.125
2018-01-03T18:30:00,67,190,18,58.88888889,0,0,0.625,68.25,65.75
2018-01-03T19:00:00,51,190,19,58.33333333,-16,-5.25,-1.375,63,64.375
2018-01-03T19:30:00,62,190,19,59,11,-1.25,0,61.75,64.375
2018-01-03T20:00:00,51,180,20,59,-11,-4,-1.375,57.75,63
2018-01-03T20:30:00,57,190,20,59,6,-2.5,-1.25,55.25,61.75
2018-01-03T21:00:00,51,180,21,59.55555556,-6,0,-2.625,55.25,59.125
2018-01-03T21:30:00,62,190,21,60.22222222,11,0,-0.625,55.25,58.5
2018-01-03T22:00:00,67,190,22,59,5,4,0,59.25,58.5
2018-01-03T22:30:00,62,190,22,57.22222222,-5,1.25,-0.625,60.5,57.875
2018-01-03T23:00:00,62,200,23,55.44444444,0,2.75,1.375,63.25,59.25
2018-01-03T23:30:00,57,200,23,54.22222222,-5,-1.25,-0.625,62,58.625
2018-01-04T00:00:00,62,210,0,54.77777778,5,-1.25,1.375,60.75,60
2018-01-04T00:30:00,51,200,0,54.77777778,-11,-2.75,-0.75,58,59.25
2018-01-04T01:00:00,62,210,1,55.44444444,11,0,1.375,58,60.625
2018-01-04T01:30:00,57,210,1,55.44444444,-5,0,-0.625,58,60
2018-01-04T02:00:00,51,200,2,55.44444444,-6,-2.75,-2,55.25,58
2018-01-04T02:30:00,51,200,2,56.66666667,0,0,-1.375,55.25,56.625
2018-01-04T03:00:00,46,200,3,57.33333333,-5,-4,-2,51.25,54.625
2018-01-04T03:30:00,51,190,3,57.88888889,5,-1.5,-0.75,49.75,53.875
2018-01-04T04:00:00,62,180,4,58.55555556,11,2.75,0,52.5,53.875
2018-01-04T04:30:00,62,170,4,58,0,2.75,1.375,55.25,55.25
2018-01-04T05:00:00,57,170,5,57.44444444,-5,2.75,-0.625,58,54.625
2018-01-04T05:30:00,62,170,5,57.44444444,5,2.75,0.625,60.75,55.25
2018-01-04T06:00:00,57,170,6,58,-5,-1.25,0.75,59.5,56
2018-01-04T06:30:00,62,170,6,59.66666667,5,0,1.375,59.5,57.375
2018-01-04T07:00:00,57,170,7,61.88888889,-5,0,1.375,59.5,58.75
2018-01-04T07:30:00,51,170,7,65.33333333,-6,-2.75,0,56.75,58.75
2018-01-04T08:00:00,57,170,8,68.77777778,6,0,-0.625,56.75,58.125
2018-01-04T08:30:00,57,170,8,71.55555556,0,-1.25,-0.625,55.5,57.5
2018-01-04T09:00:00,57,180,9,74.33333333,0,0,0,55.5,57.5
2018-01-04T09:30:00,57,190,9,77.11111111,0,1.5,-0.625,57,56.875
2018-01-04T10:00:00,67,190,10,79.88888889,10,2.5,1.25,59.5,58.125
2018-01-04T10:30:00,72,200,10,81.55555556,5,3.75,1.25,63.25,59.375
2018-01-04T11:00:00,82,200,11,82.66666667,10,6.25,3.125,69.5,62.5
2018-01-04T11:30:00,88,210,11,82.66666667,6,7.75,4.625,77.25,67.125
2018-01-04T12:00:00,82,210,12,82,-6,3.75,3.125,81,70.25
2018-01-04T12:30:00,82,210,12,81.44444444,0,2.5,3.125,83.5,73.375
2018-01-04T13:00:00,82,210,13,80.88888889,0,0,3.125,83.5,76.5
2018-01-04T13:30:00,82,210,13,78.66666667,0,-1.5,3.125,82,79.625
2018-01-04T14:00:00,82,210,14,77,0,0,1.875,82,81.5
2018-01-04T14:30:00,82,210,14,75.33333333,0,0,1.25,82,82.75
