DATE,wind,temp,hour,targVar,RateOfChange0.5,RateOfChange2,RateOfChange4,MovingAverage2,MovingAverage4
2018-01-01T04:15:00,57,-280,4,48.125,-10,-1.25,0,63.25,59.875
2018-01-01T04:55:00,41,-290,4,50.125,-16,-6.5,-1.25,56.75,58.625
2018-01-01T05:15:00,41,-280,5,51.375,0,-5.25,-1.25,51.5,57.375
2018-01-01T05:55:00,41,-290,5,51.375,0,-6.5,-2.625,45,54.75
2018-01-01T06:15:00,46,-290,6,50.125,5,-2.75,-2,42.25,52.75
2018-01-01T06:55:00,62,-280,6,45.625,16,5.25,-0.625,47.5,52.125
2018-01-01T07:15:00,62,-280,7,43,0,5.25,0,52.75,52.125
2018-01-01T07:55:00,46,-290,7,39.875,-16,1.25,-2.625,54,49.5
2018-01-01T08:15:00,46,-280,8,36,0,0,-1.375,54,48.125
2018-01-01T08:55:00,57,-290,8,30.75,11,-1.25,2,52.75,50.125
2018-01-01T09:15:00,51,-290,9,27,-6,-2.75,1.25,50,51.375
2018-01-01T09:55:00,41,-290,9,24.5,-10,-1.25,0,48.75,51.375
2018-01-01T10:15:00,36,-290,10,23.875,-5,-2.5,-1.25,46.25,50.125
2018-01-01T10:55:00,26,-300,10,23.25,-10,-7.75,-4.5,38.5,45.625
2018-01-01T11:15:00,41,-290,11,20.75,15,-2.5,-2.625,36,43
2018-01-01T11:55:00,21,-310,11,20.75,-20,-5,-3.125,31,39.875
2018-01-01T12:15:00,15,-300,12,22.125,-6,-5.25,-3.875,25.75,36
2018-01-01T13:15:00,15,-320,13,22.875,0,-2.75,-5.25,23,30.75
2018-01-01T13:55:00,21,-320,13,22.875,6,-5,-3.75,18,27
2018-01-01T14:15:00,21,-310,14,22.875,0,0,-2.5,18,24.5
2018-01-01T14:55:00,31,-300,14,23.5,10,4,-0.625,22,23.875
2018-01-01T15:15:00,21,-290,15,24.125,-10,1.5,-0.625,23.5,23.25
2018-01-01T15:55:00,21,-300,15,25.375,0,0,-2.5,23.5,20.75
2018-01-01T16:15:00,21,-290,16,26,0,0,0,23.5,20.75
2018-01-01T16:55:00,26,-270,16,26.625,5,-1.25,1.375,22.25,22.125
2018-01-01T17:15:00,21,-270,17,27.25,-5,0,0.75,22.25,22.875
2018-01-01T17:55:00,21,-250,17,27.875,0,0,0,22.25,22.875
2018-01-01T18:15:00,21,-240,18,27.875,0,0,0,22.25,22.875
2018-01-01T18:55:00,36,-240,18,26.625,15,2.5,0.625,24.75,23.5
2018-01-01T19:15:00,26,-230,19,25.25,-10,1.25,0.625,26,24.125
2018-01-01T19:55:00,31,-240,19,25.25,5,2.5,1.25,28.5,25.375
2018-01-01T20:15:00,26,-230,20,26.5,-5,1.25,0.625,29.75,26
2018-01-01T20:55:00,31,-230,20,26.5,5,-1.25,0.625,28.5,26.625
2018-01-01T21:15:00,26,-230,21,28.375,-5,0,0.625,28.5,27.25
2018-01-01T21:55:00,26,-240,21,28.375,0,-1.25,0.625,27.25,27.875
2018-01-01T22:15:00,21,-240,22,29,-5,-1.25,0,26,27.875
2018-01-01T22:55:00,26,-240,22,30.875,5,-1.25,-1.25,24.75,26.625
2018-01-02T02:15:00,15,-290,2,34.125,-11,-2.75,-1.375,22,25.25
2018-01-02T02:55:00,31,-290,2,34.75,16,1.25,0,23.25,25.25
2018-01-02T03:15:00,36,-290,3,35.375,5,3.75,1.25,27,26.5
2018-01-02T03:55:00,31,-280,3,36.625,-5,1.25,0,28.25,26.5
2018-01-02T04:15:00,41,-280,4,36.625,10,6.5,1.875,34.75,28.375
2018-01-02T04:55:00,26,-280,4,38.5,-15,-1.25,0,33.5,28.375
2018-01-02T05:15:00,26,-280,5,39.75,0,-2.5,0.625,31,29
2018-01-02T05:55:00,41,-270,5,40.375,15,2.5,1.875,33.5,30.875
2018-01-02T06:15:00,41,-270,6,42.375,0,0,3.25,33.5,34.125
2018-01-02T06:55:00,36,-270,6,45.625,-5,2.5,0.625,36,34.75
2018-01-02T07:15:00,41,-280,7,48.25,5,3.75,0.625,39.75,35.375
2018-01-02T07:55:00,41,-270,7,50.875,0,0,1.25,39.75,36.625
2018-01-02T08:15:00,41,-250,8,53.5,0,0,0,39.75,36.625
2018-01-02T08:55:00,41,-230,8,57.375,0,1.25,1.875,41,38.5
2018-01-02T09:15:00,36,-230,9,61.875,-5,-1.25,1.25,39.75,39.75
2018-01-02T09:55:00,46,-220,9,64.5,10,1.25,0.625,41,40.375
2018-01-02T10:15:00,57,-210,10,65.125,11,4,2,45,42.375
2018-01-02T10:55:00,62,-210,10,66.375,5,5.25,3.25,50.25,45.625
2018-01-02T11:15:00,62,-210,11,67.625,0,6.5,2.625,56.75,48.25
2018-01-02T11:55:00,62,-220,11,68.875,0,4,2.625,60.75,50.875
