DATE,wind,temp,hour,targVar,RateOfChange0.5,RateOfChange2,RateOfChange4,MovingAverage2,MovingAverage4
2018-08-01T00:15:00,41,240,0,33.5,-5,-1.25,3.25,44.75,42.875
2018-08-01T00:55:00,36,230,0,34.125,-5,-3.75,0,41,42.875
2018-08-01T01:15:00,36,220,1,34.75,0,-1.25,-1.875,39.75,41
2018-08-01T01:55:00,36,200,1,36.625,0,-2.5,0.625,37.25,41.625
2018-08-01T02:15:00,36,200,2,36,0,-1.25,-1.25,36,40.375
2018-08-01T02:55:00,31,190,2,37.25,-5,-1.25,-2.5,34.75,37.875
2018-08-01T03:15:00,36,190,3,37.25,5,0,-0.625,34.75,37.25
2018-08-01T03:55:00,26,190,3,38.5,-10,-2.5,-2.5,32.25,34.75
2018-08-01T04:15:00,31,190,4,39.75,5,-1.25,-1.25,31,33.5
2018-08-01T04:55:00,41,190,4,39.75,10,2.5,0.625,33.5,34.125
2018-08-01T05:15:00,41,190,5,39.75,0,1.25,0.625,34.75,34.75
2018-08-01T05:55:00,51,200,5,36.625,10,6.25,1.875,41,36.625
2018-08-01T06:15:00,31,200,6,34.625,-20,0,-0.625,41,36
2018-08-01T06:55:00,41,190,6,31.375,10,0,1.25,41,37.25
2018-08-01T07:15:00,36,190,7,28.75,-5,-1.25,0,39.75,37.25
2018-08-01T07:55:00,36,180,7,26.875,0,-3.75,1.25,36,38.5
2018-08-01T08:15:00,41,180,8,24.375,5,2.5,1.25,38.5,39.75
2018-08-01T08:55:00,41,180,8,25.625,0,0,0,38.5,39.75
2018-08-01T09:15:00,41,180,9,27.625,0,1.25,0,39.75,39.75
2018-08-01T09:55:00,26,180,9,32.75,-15,-2.5,-3.125,37.25,36.625
2018-08-01T10:15:00,15,180,10,39.875,-11,-6.5,-2,30.75,34.625
2018-08-01T10:55:00,15,170,10,45.75,0,-6.5,-3.25,24.25,31.375
2018-08-01T11:55:00,15,150,11,53.5,0,-6.5,-2.625,17.75,28.75
2018-08-01T12:55:00,21,170,12,59.25,6,-1.25,-1.875,16.5,26.875
2018-08-01T13:15:00,21,180,13,63.75,0,1.5,-2.5,18,24.375
2018-08-01T14:15:00,51,170,14,63.75,30,9,1.25,27,25.625
2018-08-01T14:55:00,57,180,14,64.375,6,10.5,2,37.5,27.625
2018-08-01T15:55:00,67,180,15,61.75,10,11.5,5.125,49,32.75
2018-08-01T16:15:00,72,180,16,58.5,5,12.75,7.125,61.75,39.875
2018-08-01T16:55:00,62,190,16,55.25,-10,2.75,5.875,64.5,45.75
2018-08-01T17:15:00,77,190,17,52,15,5,7.75,69.5,53.5
2018-08-01T17:55:00,67,200,17,48.75,-10,0,5.75,69.5,59.25
2018-08-01T18:15:00,57,200,18,48,-10,-3.75,4.5,65.75,63.75
2018-08-01T18:55:00,51,200,18,48,-6,-2.75,0,63,63.75
2018-08-01T19:15:00,62,210,19,46.625,11,-3.75,0.625,59.25,64.375
2018-08-01T19:55:00,46,210,19,47.25,-16,-5.25,-2.625,54,61.75
2018-08-01T20:15:00,46,220,20,47.875,0,-2.75,-3.25,51.25,58.5
2018-08-01T20:55:00,36,210,20,49.75,-10,-3.75,-3.25,47.5,55.25
2018-08-01T21:15:00,51,220,21,49.125,15,-2.75,-3.25,44.75,52
2018-08-01T21:55:00,41,220,21,47.875,-10,-1.25,-3.25,43.5,48.75
2018-08-01T22:15:00,51,200,22,45.375,10,1.25,-0.75,44.75,48
2018-08-01T22:55:00,51,200,22,43.5,0,3.75,0,48.5,48
2018-08-01T23:15:00,51,200,23,40.375,0,0,-1.375,48.5,46.625
2018-08-01T23:55:00,51,200,23,37.875,0,2.5,0.625,51,47.25
2018-08-02T00:15:00,51,190,0,36,0,0,0.625,51,47.875
2018-08-02T00:55:00,51,180,0,32.875,0,0,1.875,51,49.75
2018-08-02T01:15:00,46,170,1,30.375,-5,-1.25,-0.625,49.75,49.125
2018-08-02T01:55:00,31,150,1,29.75,-15,-5,-1.25,44.75,47.875
2018-08-02T02:15:00,31,130,2,29.125,0,-5,-2.5,39.75,45.375
2018-08-02T02:55:00,36,130,2,27.25,5,-3.75,-1.875,36,43.5
2018-08-02T03:15:00,26,120,3,26.625,-10,-5,-3.125,31,40.375
2018-08-02T03:55:00,31,110,3,25.375,5,0,-2.5,31,37.875
2018-08-02T04:15:00,36,120,4,24.75,5,1.25,-1.875,32.25,36
2018-08-02T04:55:00,26,110,4,26,-10,-2.5,-3.125,29.75,32.875
2018-08-02T05:15:00,26,100,5,27.25,0,0,-2.5,29.75,30.375
2018-08-02T05:55:00,26,90,5,27.25,0,-1.25,-0.625,28.5,29.75
2018-08-02T06:15:00,26,90,6,28.5,0,-2.5,-0.625,26,29.125
2018-08-02T06:55:00,21,90,6,30.375,-5,-1.25,-1.875,24.75,27.25
2018-08-02T07:15:00,21,90,7,31,0,-1.25,-0.625,23.5,26.625
2018-08-02T13:15:00,21,110,13,32.25,0,-1.25,-1.25,22.25,25.375
2018-08-02T13:55:00,31,130,13,32.875,10,1.25,-0.625,23.5,24.75
2018-08-02T14:15:00,36,140,14,33.5,5,3.75,1.25,27.25,26
2018-08-02T14:55:00,36,150,14,35.375,0,3.75,1.25,31,27.25
2018-08-02T15:15:00,26,150,15,37.25,-10,1.25,0,32.25,27.25
2018-08-02T15:55:00,36,170,15,39.875,10,1.25,1.25,33.5,28.5
2018-08-02T16:15:00,36,170,16,43.125,0,0,1.875,33.5,30.375
2018-08-02T16:55:00,26,180,16,47,-10,-2.5,0.625,31,31
2018-08-02T17:15:00,31,190,17,50.875,5,1.25,1.25,32.25,32.25
2018-08-02T17:55:00,36,200,17,54.125,5,0,0.625,32.25,32.875
2018-08-02T18:15:00,41,200,18,55.375,5,1.25,0.625,33.5,33.5
2018-08-02T18:55:00,51,210,18,56.125,10,6.25,1.875,39.75,35.375
2018-08-02T19:15:00,41,220,19,56.125,-10,2.5,1.875,42.25,37.25
2018-08-02T19:55:00,57,230,19,54.125,16,5.25,2.625,47.5,39.875
2018-08-02T20:15:00,62,230,20,52.125,5,5.25,3.25,52.75,43.125
2018-08-02T20:55:00,57,230,20,50.125,-5,1.5,3.875,54.25,47
2018-08-02T21:15:00,62,230,21,48.125,5,5.25,3.875,59.5,50.875
2018-08-02T21:55:00,62,230,21,44.25,0,1.25,3.25,60.75,54.125
2018-08-02T22:15:00,51,230,22,42.375,-11,-2.75,1.25,58,55.375
2018-08-02T22:55:00,57,230,22,42.375,6,0,0.75,58,56.125
2018-08-02T23:15:00,41,230,23,44.375,-16,-5.25,0,52.75,56.125
2018-08-02T23:55:00,41,230,23,46.375,0,-5.25,-2,47.5,54.125
2018-08-03T00:15:00,46,230,0,48.375,5,-1.25,-2,46.25,52.125
2018-08-03T00:55:00,41,220,0,49.625,-5,-4,-2,42.25,50.125
2018-08-03T01:15:00,46,220,1,50.25,5,1.25,-2,43.5,48.125
2018-08-03T01:55:00,31,200,1,53.5,-15,-2.5,-3.875,41,44.25
2018-08-03T02:15:00,36,190,2,56.125,5,-2.5,-1.875,38.5,42.375
2018-08-03T02:55:00,57,200,2,56.125,21,4,0,42.5,42.375
2018-08-03T03:15:00,57,200,3,55.375,0,2.75,2,45.25,44.375
2018-08-03T03:55:00,57,200,3,54,0,6.5,2,51.75,46.375
2018-08-03T04:15:00,62,200,4,51.375,5,6.5,2,58.25,48.375
2018-08-03T04:55:00,51,190,4,49.5,-11,-1.5,1.25,56.75,49.625
2018-08-03T05:15:00,51,190,5,47,0,-1.5,0.625,55.25,50.25
2018-08-03T05:55:00,57,190,5,44.375,6,0,3.25,55.25,53.5
2018-08-03T06:15:00,57,190,6,41.75,0,-1.25,2.625,54,56.125
2018-08-03T06:55:00,57,190,6,39.75,0,1.5,0,55.5,56.125
2018-08-03T07:15:00,51,190,7,39.125,-6,0,-0.75,55.5,55.375
2018-08-03T07:55:00,46,190,7,37.875,-5,-2.75,-1.375,52.75,54
2018-08-03T08:15:00,41,190,8,38.5,-5,-4,-2.625,48.75,51.375
2018-08-03T08:55:00,36,190,8,38.5,-5,-5.25,-1.875,43.5,49.5
2018-08-03T09:15:00,31,180,9,37.875,-5,-5,-2.5,38.5,47
2018-08-03T09:55:00,36,180,9,38.5,5,-2.5,-2.625,36,44.375
2018-08-03T10:15:00,36,180,10,40.375,0,-1.25,-2.625,34.75,41.75
2018-08-03T10:55:00,41,180,10,41,5,1.25,-2,36,39.75
2018-08-03T11:15:00,46,180,11,42.375,5,3.75,-0.625,39.75,39.125
2018-08-03T11:55:00,36,180,11,48.125,-10,0,-1.25,39.75,37.875
2018-08-03T12:15:00,46,180,12,51.375,10,2.5,0.625,42.25,38.5
2018-08-03T12:55:00,36,200,12,55.875,-10,-1.25,0,41,38.5
2018-08-03T13:15:00,26,210,13,62.875,-10,-5,-0.625,36,37.875
2018-08-03T13:55:00,41,230,13,67.375,15,1.25,0.625,37.25,38.5
2018-08-03T14:15:00,51,240,14,70.625,10,1.25,1.875,38.5,40.375
2018-08-03T14:55:00,46,240,14,73.875,-5,2.5,0.625,41,41
2018-08-03T15:15:00,57,250,15,76.375,11,7.75,1.375,48.75,42.375
2018-08-03T15:55:00,82,270,15,75.125,25,10.25,5.75,59,48.125
2018-08-03T16:15:00,72,280,16,76.375,-10,5.25,3.25,64.25,51.375
2018-08-03T16:55:00,72,280,16,75.125,0,6.5,4.5,70.75,55.875
2018-08-03T17:15:00,82,280,17,73.25,10,6.25,7,77,62.875
2018-08-03T17:55:00,77,280,17,79.125,-5,-1.25,4.5,75.75,67.375
2018-08-03T18:15:00,77,280,18,81.75,0,1.25,3.25,77,70.625
2018-08-03T18:55:00,72,280,18,82.375,-5,0,3.25,77,73.875
2018-08-03T19:15:00,77,290,19,83.75,5,-1.25,2.5,75.75,76.375
2018-08-03T19:55:00,72,270,19,79.875,-5,-1.25,-1.25,74.5,75.125
2018-08-03T20:15:00,82,260,20,74.125,10,1.25,1.25,75.75,76.375
2018-08-03T20:55:00,62,270,20,72.125,-20,-2.5,-1.25,73.25,75.125
2018-08-03T21:15:00,67,270,21,69.5,5,-2.5,-1.875,70.75,73.25
2018-08-03T21:55:00,124,250,21,57.25,57,13,5.875,83.75,79.125
2018-08-03T22:15:00,98,250,22,49.5,-26,4,2.625,87.75,81.75
2018-08-03T22:55:00,77,250,22,45.625,-21,3.75,0.625,91.5,82.375
2018-08-03T23:15:00,88,250,23,41.75,11,5.25,1.375,96.75,83.75
2018-08-03T23:55:00,41,250,23,43,-47,-20.75,-3.875,76,79.875
2018-08-04T00:15:00,36,250,0,46.25,-5,-15.5,-5.75,60.5,74.125
2018-08-04T00:55:00,46,250,0,56,10,-7.75,-2,52.75,72.125
2018-08-04T01:15:00,46,250,1,63.75,0,-10.5,-2.625,42.25,69.5
2018-08-04T01:55:00,26,240,1,69.5,-20,-3.75,-12.25,38.5,57.25
2018-08-04T02:15:00,36,240,2,69.5,10,0,-7.75,38.5,49.5
2018-08-04T02:55:00,46,240,2,67,10,0,-3.875,38.5,45.625
2018-08-04T03:15:00,57,240,3,65.625,11,2.75,-3.875,41.25,41.75
2018-08-04T03:55:00,51,240,3,68.25,-6,6.25,1.25,47.5,43
2018-08-04T04:15:00,62,240,4,67.625,11,6.5,3.25,54,46.25
2018-08-04T04:55:00,124,230,4,60.5,62,19.5,9.75,73.5,56
2018-08-04T05:15:00,108,220,5,54.125,-16,12.75,7.75,86.25,63.75
2018-08-04T05:55:00,72,200,5,50.875,-36,5.25,5.75,91.5,69.5
2018-08-04T06:15:00,36,200,6,51.5,-36,-6.5,0,85,69.5
2018-08-04T06:55:00,26,200,6,55.375,-10,-24.5,-2.5,60.5,67
2018-08-04T07:15:00,46,200,7,56.75,20,-15.5,-1.375,45,65.625
2018-08-04T07:55:00,72,200,7,52.25,26,0,2.625,45,68.25
2018-08-04T08:15:00,57,190,8,54.125,-15,5.25,-0.625,50.25,67.625
2018-08-04T08:55:00,67,190,8,57.375,10,10.25,-7.125,60.5,60.5
2018-08-04T09:15:00,57,190,9,61.875,-10,2.75,-6.375,63.25,54.125
2018-08-04T09:55:00,46,190,9,65.125,-11,-6.5,-3.25,56.75,50.875
2018-08-04T10:15:00,41,190,10,69.625,-5,-4,0.625,52.75,51.5
2018-08-04T10:55:00,57,190,10,69.625,16,-2.5,3.875,50.25,55.375
2018-08-04T11:15:00,57,190,11,70.25,0,0,1.375,50.25,56.75
2018-08-04T11:55:00,36,190,11,72.875,-21,-2.5,-4.5,47.75,52.25
2018-08-04T12:15:00,72,190,12,72.25,36,7.75,1.875,55.5,54.125
2018-08-04T12:55:00,93,200,12,67,21,9,3.25,64.5,57.375
2018-08-04T13:15:00,93,200,13,62.5,0,9,4.5,73.5,61.875
2018-08-04T13:55:00,72,200,13,59.25,-21,9,3.25,82.5,65.125
2018-08-04T14:15:00,77,200,14,56,5,1.25,4.5,83.75,69.625
2018-08-04T14:55:00,57,200,14,54.625,-20,-9,0,74.75,69.625
